"Moving Violations",,
"Staten Island",,
"October  ",,
pbsisum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,48
"Brake Lights (Defect.or Improper)",35,435
"Bus Lane, Driving in",2,20
"Cell Phone",292,2944
"Commercial Veh on Pkwy",0,11
"Defective Brakes",1,6
"Disobey Steady Red Signal",333,2637
"Disobey Traffic Control Device",845,8881
"Equipment (Other)",8,171
"Fail to Keep Right",1,14
"Fail to Signal",277,3229
"Following Too Closely",8,99
"Headlights (Defect. or Improper)",40,457
"Improper Lights",2,14
"Improper Passing",20,170
"Improper Turn",67,539
"Improper/Missing Plates",47,452
"Lamps and Other Equipment on Bicycle",0,1
"Not Giving R of W to Pedes.",129,1205
"Not Giving R of W to Veh.",21,244
"OBSTRUCTED PLATE",4,182
"One Way Street",10,83
"Pavement Markings",142,1015
"Safety Belt",542,5132
"School Bus, Passing Stopped",62,267
Speeding,950,6641
Spillback,1,9
"Tinted Windows",225,2512
"Truck Routes",0,4
U-Turn,11,144
Uninspected,23,283
Uninsured,148,1800
"Unlicensed Operator",398,3910
Unregistered,63,514
"Unsafe Lane Change",30,334
"Other Movers",654,5099
"PBSITOTAL Movers ",5393,49506
,,
"* All figures are preliminary and subject to change.",,
