"Moving Violations",,
"32nd Precinct",,
"     May ",,
032sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,3
"Brake Lights (Defect.or Improper)",6,92
"Bus Lane, Driving in",0,0
"Cell Phone",33,165
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Steady Red Signal",31,224
"Disobey Traffic Control Device",130,702
"Equipment (Other)",18,48
"Fail to Keep Right",0,0
"Fail to Signal",10,152
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",10,175
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",52,279
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",9,126
"Not Giving R of W to Veh.",3,8
"One Way Street",3,5
"Pavement Markings",30,189
"Safety Belt",48,84
"School Bus, Passing Stopped",0,27
Speeding,60,266
Spillback,0,2
"Tinted Windows",11,131
"Truck Routes",0,3
U-Turn,1,24
Uninspected,2,16
Uninsured,18,85
"Unlicensed Operator",38,200
Unregistered,8,42
"Unsafe Lane Change",0,9
"Other Movers",43,145
"032    TOTAL Movers ",564,3209
"* All figures are preliminary and subject to change.",,
