"Moving Violations",,
"43rd Precinct",,
"     May ",,
043sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,25
"Brake Lights (Defect.or Improper)",41,283
"Bus Lane, Driving in",0,0
"Cell Phone",54,224
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Steady Red Signal",12,82
"Disobey Traffic Control Device",81,327
"Equipment (Other)",0,16
"Fail to Keep Right",1,1
"Fail to Signal",12,249
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",43,349
"Improper Lights",0,2
"Improper Passing",2,7
"Improper Turn",43,405
"Improper/Missing Plates",0,15
"Not Giving R of W to Pedes.",10,247
"Not Giving R of W to Veh.",2,8
"One Way Street",0,1
"Pavement Markings",7,38
"Safety Belt",73,245
"School Bus, Passing Stopped",0,37
Speeding,20,243
Spillback,0,2
"Tinted Windows",36,284
"Truck Routes",2,3
U-Turn,6,21
Uninspected,0,2
Uninsured,16,116
"Unlicensed Operator",38,256
Unregistered,8,40
"Unsafe Lane Change",8,125
"Other Movers",61,204
"043    TOTAL Movers ",579,3859
"* All figures are preliminary and subject to change.",,
