"Moving Violations",,
"26th Precinct",,
"     May ",,
026sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",3,24
"Bus Lane, Driving in",0,0
"Cell Phone",94,243
"Commercial Veh on Pkwy",1,5
"Defective Brakes",0,2
"Disobey Steady Red Signal",15,56
"Disobey Traffic Control Device",58,285
"Equipment (Other)",17,30
"Fail to Keep Right",0,7
"Fail to Signal",7,18
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",5,51
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",53,220
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",27,160
"Not Giving R of W to Veh.",4,18
"One Way Street",1,4
"Pavement Markings",35,200
"Safety Belt",26,50
"School Bus, Passing Stopped",0,6
Speeding,29,590
Spillback,0,0
"Tinted Windows",11,36
"Truck Routes",0,0
U-Turn,13,30
Uninspected,3,7
Uninsured,8,57
"Unlicensed Operator",19,87
Unregistered,3,21
"Unsafe Lane Change",1,4
"Other Movers",32,106
"026    TOTAL Movers ",465,2318
"* All figures are preliminary and subject to change.",,
