"Moving Violations",,
"13th Precinct",,
"     May ",,
013sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",0,22
"Bus Lane, Driving in",0,2
"Cell Phone",57,165
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,1
"Disobey Steady Red Signal",78,309
"Disobey Traffic Control Device",190,831
"Equipment (Other)",1,12
"Fail to Keep Right",0,0
"Fail to Signal",7,30
"Following Too Closely",0,8
"Headlights (Defect. or Improper)",0,15
"Improper Lights",0,0
"Improper Passing",8,14
"Improper Turn",194,740
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",49,167
"Not Giving R of W to Veh.",0,29
"One Way Street",13,28
"Pavement Markings",0,12
"Safety Belt",10,36
"School Bus, Passing Stopped",0,13
Speeding,8,58
Spillback,21,125
"Tinted Windows",14,56
"Truck Routes",0,2
U-Turn,0,6
Uninspected,0,0
Uninsured,17,90
"Unlicensed Operator",18,70
Unregistered,5,13
"Unsafe Lane Change",18,96
"Other Movers",74,234
"013    TOTAL Movers ",784,3187
"* All figures are preliminary and subject to change.",,
