"Moving Violations",,
"5th Precinct",,
"     May ",,
005sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,5
"Brake Lights (Defect.or Improper)",13,93
"Bus Lane, Driving in",0,3
"Cell Phone",79,222
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",59,232
"Disobey Traffic Control Device",226,904
"Equipment (Other)",7,51
"Fail to Keep Right",0,1
"Fail to Signal",4,29
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",11,108
"Improper Lights",0,0
"Improper Passing",9,22
"Improper Turn",166,540
"Improper/Missing Plates",3,11
"Not Giving R of W to Pedes.",23,94
"Not Giving R of W to Veh.",3,7
"One Way Street",2,10
"Pavement Markings",27,105
"Safety Belt",40,164
"School Bus, Passing Stopped",0,3
Speeding,12,58
Spillback,25,49
"Tinted Windows",9,103
"Truck Routes",0,0
U-Turn,2,10
Uninspected,1,2
Uninsured,21,75
"Unlicensed Operator",12,63
Unregistered,2,36
"Unsafe Lane Change",1,7
"Other Movers",78,215
"005    TOTAL Movers ",837,3223
"* All figures are preliminary and subject to change.",,
