"Moving Violations",,
"Staten Island",,
"     May ",,
pbsisum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,16
"Brake Lights (Defect.or Improper)",70,369
"Bus Lane, Driving in",1,13
"Cell Phone",392,1213
"Commercial Veh on Pkwy",7,12
"Defective Brakes",2,13
"Disobey Steady Red Signal",169,853
"Disobey Traffic Control Device",868,3056
"Equipment (Other)",32,116
"Fail to Keep Right",1,20
"Fail to Signal",364,1450
"Following Too Closely",10,44
"Headlights (Defect. or Improper)",66,452
"Improper Lights",1,15
"Improper Passing",16,59
"Improper Turn",41,190
"Improper/Missing Plates",47,197
"Not Giving R of W to Pedes.",77,281
"Not Giving R of W to Veh.",20,89
"One Way Street",7,30
"Pavement Markings",56,567
"Safety Belt",585,1736
"School Bus, Passing Stopped",12,68
Speeding,496,2272
Spillback,2,11
"Tinted Windows",598,2377
"Truck Routes",17,33
U-Turn,15,95
Uninspected,26,131
Uninsured,219,958
"Unlicensed Operator",503,1808
Unregistered,66,295
"Unsafe Lane Change",26,75
"Other Movers",381,1227
"PBSI   TOTAL Movers ",5195,20141
"* All figures are preliminary and subject to change.",,
