"Moving Violations",,
"23rd Precinct",,
"   April ",,
023sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",7,32
"Bus Lane, Driving in",2,3
"Cell Phone",137,621
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",70,266
"Disobey Traffic Control Device",48,161
"Equipment (Other)",14,28
"Fail to Keep Right",0,0
"Fail to Signal",5,30
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",1,40
"Improper Lights",0,0
"Improper Passing",9,11
"Improper Turn",45,225
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",57,201
"Not Giving R of W to Veh.",4,6
"One Way Street",4,6
"Pavement Markings",0,4
"Safety Belt",28,132
"School Bus, Passing Stopped",22,25
Speeding,31,61
Spillback,0,0
"Tinted Windows",12,73
"Truck Routes",12,18
U-Turn,0,2
Uninspected,0,0
Uninsured,4,11
"Unlicensed Operator",10,45
Unregistered,1,4
"Unsafe Lane Change",5,12
"Other Movers",32,70
"023    TOTAL Movers ",560,2089
"* All figures are preliminary and subject to change.",,
