"Moving Violations",,
"42nd Precinct",,
"   April ",,
042sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,15
"Brake Lights (Defect.or Improper)",7,31
"Bus Lane, Driving in",0,0
"Cell Phone",71,192
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",94,361
"Disobey Traffic Control Device",183,545
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,54
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",4,59
"Improper Lights",1,7
"Improper Passing",1,6
"Improper Turn",165,616
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",21,103
"Not Giving R of W to Veh.",4,15
"One Way Street",0,0
"Pavement Markings",1,10
"Safety Belt",32,92
"School Bus, Passing Stopped",40,74
Speeding,40,120
Spillback,1,6
"Tinted Windows",52,365
"Truck Routes",4,4
U-Turn,6,66
Uninspected,3,19
Uninsured,28,97
"Unlicensed Operator",49,168
Unregistered,15,39
"Unsafe Lane Change",6,17
"Other Movers",9,45
"042    TOTAL Movers ",840,3127
"* All figures are preliminary and subject to change.",,
