"Moving Violations",,
"13th Precinct",,
"   April ",,
013sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",0,22
"Bus Lane, Driving in",0,2
"Cell Phone",40,108
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",71,231
"Disobey Traffic Control Device",143,641
"Equipment (Other)",3,11
"Fail to Keep Right",0,0
"Fail to Signal",6,23
"Following Too Closely",3,8
"Headlights (Defect. or Improper)",0,15
"Improper Lights",0,0
"Improper Passing",3,6
"Improper Turn",177,546
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",25,118
"Not Giving R of W to Veh.",13,29
"One Way Street",8,15
"Pavement Markings",11,12
"Safety Belt",11,26
"School Bus, Passing Stopped",11,13
Speeding,17,50
Spillback,27,104
"Tinted Windows",31,42
"Truck Routes",1,2
U-Turn,3,6
Uninspected,0,0
Uninsured,30,73
"Unlicensed Operator",24,52
Unregistered,4,8
"Unsafe Lane Change",23,78
"Other Movers",62,160
"013    TOTAL Movers ",747,2403
"* All figures are preliminary and subject to change.",,
