"Moving Violations",,
"25th Precinct",,
"   April ",,
025sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",4,12
"Brake Lights (Defect.or Improper)",15,70
"Bus Lane, Driving in",1,2
"Cell Phone",233,656
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Steady Red Signal",36,189
"Disobey Traffic Control Device",77,297
"Equipment (Other)",4,13
"Fail to Keep Right",0,0
"Fail to Signal",10,49
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,32
"Improper Lights",2,5
"Improper Passing",1,2
"Improper Turn",161,588
"Improper/Missing Plates",3,24
"Not Giving R of W to Pedes.",49,171
"Not Giving R of W to Veh.",1,2
"One Way Street",6,28
"Pavement Markings",1,10
"Safety Belt",164,552
"School Bus, Passing Stopped",42,43
Speeding,24,62
Spillback,4,4
"Tinted Windows",101,418
"Truck Routes",33,64
U-Turn,11,68
Uninspected,2,11
Uninsured,36,171
"Unlicensed Operator",40,148
Unregistered,8,42
"Unsafe Lane Change",9,13
"Other Movers",35,184
"025    TOTAL Movers ",1119,3933
"* All figures are preliminary and subject to change.",,
