9th Precinct,,
   April ,,
009sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),0,8
"Bus Lane, Driving in",0,0
Cell Phone,77,419
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,71,292
Disobey Traffic Control Device,92,493
Equipment (Other),5,9
Fail to Keep Right,0,0
Fail to Signal,1,19
Following Too Closely,1,1
Headlights (Defect. or Improper),8,36
Improper Lights,0,2
Improper Passing,2,3
Improper Turn,140,390
Improper/Missing Plates,4,12
Not Giving R of W to Pedes.,16,79
Not Giving R of W to Veh.,0,1
One Way Street,2,6
Pavement Markings,37,94
Safety Belt,90,341
"School Bus, Passing Stopped",4,7
Speeding,1,8
Spillback,1,2
Tinted Windows,4,16
Truck Routes,0,0
U-Turn,0,1
Uninspected,0,8
Uninsured,14,41
Unlicensed Operator,30,105
Unregistered,5,18
Unsafe Lane Change,22,72
Other Movers,35,124
009    TOTAL Movers ,662,2607
