"Moving Violations",,
"47th Precinct",,
"   April ",,
047sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,7
"Brake Lights (Defect.or Improper)",26,109
"Bus Lane, Driving in",0,0
"Cell Phone",42,227
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",27,95
"Disobey Traffic Control Device",134,498
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",2,5
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",24,145
"Improper Lights",0,0
"Improper Passing",2,4
"Improper Turn",74,357
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",20,98
"Not Giving R of W to Veh.",2,5
"One Way Street",0,1
"Pavement Markings",0,1
"Safety Belt",40,211
"School Bus, Passing Stopped",7,22
Speeding,37,122
Spillback,0,0
"Tinted Windows",188,667
"Truck Routes",0,0
U-Turn,1,2
Uninspected,1,13
Uninsured,81,303
"Unlicensed Operator",42,207
Unregistered,23,100
"Unsafe Lane Change",0,0
"Other Movers",32,152
"047    TOTAL Movers ",807,3353
"* All figures are preliminary and subject to change.",,
