"Moving Violations",,
"52nd Precinct",,
"   April ",,
052sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,5
"Brake Lights (Defect.or Improper)",68,442
"Bus Lane, Driving in",16,46
"Cell Phone",38,125
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",35,140
"Disobey Traffic Control Device",111,323
"Equipment (Other)",1,3
"Fail to Keep Right",0,3
"Fail to Signal",9,78
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",37,217
"Improper Lights",3,26
"Improper Passing",18,29
"Improper Turn",138,403
"Improper/Missing Plates",2,26
"Not Giving R of W to Pedes.",11,55
"Not Giving R of W to Veh.",1,10
"One Way Street",1,4
"Pavement Markings",15,57
"Safety Belt",45,171
"School Bus, Passing Stopped",9,14
Speeding,64,329
Spillback,0,0
"Tinted Windows",237,901
"Truck Routes",1,18
U-Turn,2,18
Uninspected,4,22
Uninsured,35,159
"Unlicensed Operator",60,283
Unregistered,18,92
"Unsafe Lane Change",4,17
"Other Movers",42,68
"052    TOTAL Movers ",1025,4084
"* All figures are preliminary and subject to change.",,
