"Moving Violations",,
"5th Precinct",,
"   April ",,
005sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",20,80
"Bus Lane, Driving in",0,3
"Cell Phone",31,143
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",57,173
"Disobey Traffic Control Device",157,678
"Equipment (Other)",9,44
"Fail to Keep Right",0,1
"Fail to Signal",7,25
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",18,97
"Improper Lights",0,0
"Improper Passing",6,13
"Improper Turn",97,374
"Improper/Missing Plates",2,8
"Not Giving R of W to Pedes.",23,71
"Not Giving R of W to Veh.",2,4
"One Way Street",5,8
"Pavement Markings",22,78
"Safety Belt",18,124
"School Bus, Passing Stopped",2,3
Speeding,25,46
Spillback,13,24
"Tinted Windows",15,94
"Truck Routes",0,0
U-Turn,0,8
Uninspected,0,1
Uninsured,13,54
"Unlicensed Operator",16,51
Unregistered,6,34
"Unsafe Lane Change",2,6
"Other Movers",41,137
"005    TOTAL Movers ",608,2386
"* All figures are preliminary and subject to change.",,
