"Moving Violations",,
"115th Precinct",,
"November ",,
115sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,37
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",52,923
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Sign",122,1722
"Equipment (Other)",10,185
"Fail to Keep Right",0,2
"Fail to Signal",77,335
"Fail to Stop on Signal",64,970
"Following Too Closely",1,5
"Headlights (Defect. or Improper)",0,8
"Improper Lights",77,1243
"Improper Passing",7,57
"Improper Turn",44,1064
"Improper/Missing Plates",1,87
"Not Giving R of W to Pedes.",39,560
"Not Giving R of W to Veh.",2,30
"One Way Street",2,74
"Pavement Markings",11,83
"Safety Belt",105,2151
"School Bus, Passing Stopped",8,98
Speeding,110,348
Spillback,7,38
"Tinted Windows",159,1370
"Truck Routes",8,145
U-Turn,0,8
Uninspected,18,303
Uninsured,103,2299
"Unlicensed Operator",303,4255
Unregistered,20,293
"Unsafe Lane Change",0,2
"Other Movers",87,1007
"115    TOTAL Movers ",1441,19704
"* All figures are preliminary and subject to change.",,
