"Moving Violations",,
"9th Precinct",,
"November ",,
009sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,12
"Brake Lights (Defect.or Improper)",1,41
"Bus Lane, Driving in",3,12
"Cell Phone",118,1740
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Sign",103,1459
"Equipment (Other)",4,75
"Fail to Keep Right",0,0
"Fail to Signal",3,67
"Fail to Stop on Signal",54,1054
"Following Too Closely",1,8
"Headlights (Defect. or Improper)",24,144
"Improper Lights",0,1
"Improper Passing",0,10
"Improper Turn",90,888
"Improper/Missing Plates",6,64
"Not Giving R of W to Pedes.",20,255
"Not Giving R of W to Veh.",0,5
"One Way Street",1,38
"Pavement Markings",21,259
"Safety Belt",74,992
"School Bus, Passing Stopped",0,15
Speeding,36,68
Spillback,1,6
"Tinted Windows",17,147
"Truck Routes",0,0
U-Turn,0,5
Uninspected,0,23
Uninsured,14,231
"Unlicensed Operator",15,289
Unregistered,2,48
"Unsafe Lane Change",2,40
"Other Movers",36,341
"009    TOTAL Movers ",648,8338
"* All figures are preliminary and subject to change.",,
