19th Precinct,,
November ,,
019sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,14
Brake Lights (Defect.or Improper),64,963
"Bus Lane, Driving in",9,66
Cell Phone,165,1354
Commercial Veh on Pkwy,0,0
Defective Brakes,0,10
Disobey Sign,167,3972
Equipment (Other),2,28
Fail to Keep Right,0,1
Fail to Signal,25,386
Fail to Stop on Signal,62,1005
Following Too Closely,1,3
Headlights (Defect. or Improper),18,382
Improper Lights,0,3
Improper Passing,1,16
Improper Turn,185,4283
Improper/Missing Plates,9,42
Not Giving R of W to Pedes.,44,648
Not Giving R of W to Veh.,1,4
One Way Street,5,195
Pavement Markings,106,997
Safety Belt,29,278
"School Bus, Passing Stopped",0,30
Speeding,12,83
Spillback,2,14
Tinted Windows,39,345
Truck Routes,0,69
U-Turn,0,10
Uninspected,3,75
Uninsured,33,874
Unlicensed Operator,26,454
Unregistered,19,375
Unsafe Lane Change,29,288
Other Movers,26,703
019    TOTAL Movers ,1085,17970
