"Moving Violations",,
"69th Precinct",,
"November ",,
069sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,32
"Brake Lights (Defect.or Improper)",10,235
"Bus Lane, Driving in",0,1
"Cell Phone",71,1915
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",148,1037
"Equipment (Other)",1,40
"Fail to Keep Right",0,0
"Fail to Signal",0,24
"Fail to Stop on Signal",17,283
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",20,320
"Improper Lights",0,9
"Improper Passing",13,278
"Improper Turn",76,881
"Improper/Missing Plates",3,47
"Not Giving R of W to Pedes.",24,134
"Not Giving R of W to Veh.",3,28
"One Way Street",0,13
"Pavement Markings",5,241
"Safety Belt",83,2064
"School Bus, Passing Stopped",4,44
Speeding,24,428
Spillback,0,11
"Tinted Windows",162,2286
"Truck Routes",1,81
U-Turn,0,9
Uninspected,5,75
Uninsured,29,1136
"Unlicensed Operator",50,601
Unregistered,6,204
"Unsafe Lane Change",0,1
"Other Movers",35,660
"069    TOTAL Movers ",791,13119
"* All figures are preliminary and subject to change.",,
