"Moving Violations",,
"17th Precinct",,
"November ",,
017sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,9
"Brake Lights (Defect.or Improper)",48,855
"Bus Lane, Driving in",0,5
"Cell Phone",26,489
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",30,554
"Equipment (Other)",3,111
"Fail to Keep Right",1,4
"Fail to Signal",68,1019
"Fail to Stop on Signal",21,713
"Following Too Closely",3,10
"Headlights (Defect. or Improper)",14,313
"Improper Lights",0,0
"Improper Passing",59,451
"Improper Turn",111,2061
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",19,453
"Not Giving R of W to Veh.",0,10
"One Way Street",0,33
"Pavement Markings",102,1590
"Safety Belt",26,336
"School Bus, Passing Stopped",0,20
Speeding,12,109
Spillback,2,84
"Tinted Windows",51,96
"Truck Routes",0,21
U-Turn,0,8
Uninspected,1,5
Uninsured,17,250
"Unlicensed Operator",15,155
Unregistered,5,40
"Unsafe Lane Change",147,1851
"Other Movers",43,884
"017    TOTAL Movers ",825,12543
"* All figures are preliminary and subject to change.",,
