"Moving Violations",,
"107th Precinct",,
"November ",,
107sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,12
"Brake Lights (Defect.or Improper)",23,615
"Bus Lane, Driving in",0,0
"Cell Phone",87,990
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",111,1670
"Equipment (Other)",2,19
"Fail to Keep Right",0,2
"Fail to Signal",17,95
"Fail to Stop on Signal",14,208
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",13,221
"Improper Lights",2,57
"Improper Passing",5,38
"Improper Turn",70,1981
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",65,222
"Not Giving R of W to Veh.",2,71
"One Way Street",0,13
"Pavement Markings",1,145
"Safety Belt",55,1997
"School Bus, Passing Stopped",1,32
Speeding,163,686
Spillback,0,4
"Tinted Windows",110,507
"Truck Routes",0,9
U-Turn,13,81
Uninspected,2,20
Uninsured,25,354
"Unlicensed Operator",41,671
Unregistered,1,35
"Unsafe Lane Change",0,2
"Other Movers",26,397
"107    TOTAL Movers ",849,11155
"* All figures are preliminary and subject to change.",,
