"Moving Violations",,
"67th Precinct",,
"November ",,
067sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",8,71
"Brake Lights (Defect.or Improper)",15,327
"Bus Lane, Driving in",6,139
"Cell Phone",47,1023
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",201,1633
"Equipment (Other)",1,6
"Fail to Keep Right",0,5
"Fail to Signal",77,1085
"Fail to Stop on Signal",111,1246
"Following Too Closely",1,12
"Headlights (Defect. or Improper)",26,253
"Improper Lights",1,6
"Improper Passing",7,57
"Improper Turn",22,440
"Improper/Missing Plates",22,60
"Not Giving R of W to Pedes.",54,411
"Not Giving R of W to Veh.",9,70
"One Way Street",1,24
"Pavement Markings",38,651
"Safety Belt",48,964
"School Bus, Passing Stopped",6,28
Speeding,52,672
Spillback,8,96
"Tinted Windows",96,1485
"Truck Routes",11,77
U-Turn,41,536
Uninspected,12,121
Uninsured,102,837
"Unlicensed Operator",94,1027
Unregistered,33,268
"Unsafe Lane Change",4,36
"Other Movers",123,1900
"067    TOTAL Movers ",1277,15566
"* All figures are preliminary and subject to change.",,
