"Moving Violations",,
"33rd Precinct",,
"November ",,
033sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,25
"Brake Lights (Defect.or Improper)",35,342
"Bus Lane, Driving in",0,0
"Cell Phone",36,845
"Commercial Veh on Pkwy",0,7
"Defective Brakes",0,2
"Disobey Sign",72,529
"Equipment (Other)",1,19
"Fail to Keep Right",0,3
"Fail to Signal",24,147
"Fail to Stop on Signal",45,375
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",13,111
"Improper Lights",0,3
"Improper Passing",0,4
"Improper Turn",36,304
"Improper/Missing Plates",7,48
"Not Giving R of W to Pedes.",21,385
"Not Giving R of W to Veh.",2,11
"One Way Street",6,43
"Pavement Markings",1,19
"Safety Belt",33,612
"School Bus, Passing Stopped",0,24
Speeding,55,557
Spillback,1,7
"Tinted Windows",97,263
"Truck Routes",10,147
U-Turn,9,124
Uninspected,5,20
Uninsured,36,284
"Unlicensed Operator",37,232
Unregistered,11,101
"Unsafe Lane Change",3,29
"Other Movers",34,625
"033    TOTAL Movers ",632,6251
"* All figures are preliminary and subject to change.",,
