"Moving Violations",,
"10th Precinct",,
"November ",,
010sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,29
"Brake Lights (Defect.or Improper)",14,264
"Bus Lane, Driving in",0,0
"Cell Phone",78,1431
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Sign",81,482
"Equipment (Other)",0,0
"Fail to Keep Right",1,6
"Fail to Signal",16,88
"Fail to Stop on Signal",41,376
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",30,301
"Improper Lights",8,67
"Improper Passing",4,47
"Improper Turn",44,954
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",11,163
"Not Giving R of W to Veh.",2,9
"One Way Street",2,40
"Pavement Markings",5,108
"Safety Belt",121,1897
"School Bus, Passing Stopped",1,17
Speeding,12,72
Spillback,2,29
"Tinted Windows",17,286
"Truck Routes",1,81
U-Turn,2,11
Uninspected,2,37
Uninsured,21,213
"Unlicensed Operator",23,456
Unregistered,12,168
"Unsafe Lane Change",6,35
"Other Movers",39,517
"010    TOTAL Movers ",597,8189
"* All figures are preliminary and subject to change.",,
