Housing Bureau,,
    June ,,
"","",""
Backing Unsafely,0,1
Bike Lane,1,1
Bus Lane,0,0
Cell Phone,0,4
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,1,27
Driving Too Slow,0,0
Equipment,4,34
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,1
Failure to Signal,4,17
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,0,0
Improper Taxi Pickup,0,0
Improper Turn,1,3
Improper/Missing Plates,0,1
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,1,3
Obstructed Plate,0,14
One Way Street,0,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,2,16
School Bus,1,2
Scooter In NYC,0,0
Seat Belt,0,4
Speeding,0,2
Spillback,1,1
TBTA Rule,0,0
Tints,3,11
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,1
Uninsured,3,17
Unlicensed Operator,8,43
Unregistered,1,10
Unsafe Lane Change,1,2
Other Movers,2,8
HOUSINGTOTAL Movers ,34,225
