"Moving Violations",,
"17th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",84,315
"Bus Lane, Driving in",1,2
"Cell Phone",44,104
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",91,169
"Equipment (Other)",16,40
"Fail to Keep Right",1,2
"Fail to Signal",107,321
"Fail to Stop on Signal",64,170
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",34,172
"Improper Lights",0,0
"Improper Passing",33,63
"Improper Turn",198,476
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",14,80
"Not Giving R of W to Veh.",2,3
"One Way Street",1,8
"Pavement Markings",155,376
"Safety Belt",21,59
"School Bus, Passing Stopped",0,0
Speeding,4,12
Spillback,12,50
"Tinted Windows",9,18
"Truck Routes",13,16
U-Turn,1,5
Uninspected,0,2
Uninsured,13,95
"Unlicensed Operator",17,37
Unregistered,0,20
"Unsafe Lane Change",194,440
"Other Movers
TOTAL Movers","97
1226",314
,,3371
"* All figures are preliminary and subject to change.",,
