"Moving Violations",,
"Staten Island",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
5","YTD 2014"
,,18
"Brake Lights (Defect.or  Improper)",198,666
"Bus Lane, Driving in",21,42
"Cell Phone",350,967
"Commercial Veh on Pkwy",1,5
"Defective Brakes",0,0
"Disobey Sign",841,2002
"Equipment (Other)",47,148
"Fail to Keep Right",4,13
"Fail to Signal",225,787
"Fail to Stop on Signal",213,561
"Following Too Closely",5,21
"Headlights (Defect. or Improper)",155,624
"Improper Lights",5,25
"Improper Passing",16,37
"Improper Turn",28,83
"Improper/Missing Plates",54,132
"Not Giving R of W to Pedes.",59,138
"Not Giving R of W to Veh.",28,55
"One Way Street",7,25
"Pavement Markings",307,804
"Safety Belt",346,908
"School Bus, Passing Stopped",7,14
Speeding,519,1493
Spillback,2,5
"Tinted Windows",225,672
"Truck Routes",12,40
U-Turn,24,82
Uninspected,93,274
Uninsured,356,1062
"Unlicensed Operator",414,1206
Unregistered,94,221
"Unsafe Lane Change",22,42
"Other Movers
TOTAL Movers","259
4942",686
,,13858
"* All figures are preliminary and subject to change.",,
