"Moving Violations",,
Bronx,,
March,,
"Offense Description
Backing Unsafely","MTD 2014
30","YTD 2014"
,,80
"Brake Lights (Defect.or  Improper)",455,1309
"Bus Lane, Driving in",13,24
"Cell Phone",839,1884
"Commercial Veh on Pkwy",0,1
"Defective Brakes",3,6
"Disobey Sign",1557,3745
"Equipment (Other)",65,169
"Fail to Keep Right",4,14
"Fail to Signal",252,765
"Fail to Stop on Signal",412,1081
"Following Too Closely",21,32
"Headlights (Defect. or Improper)",363,1386
"Improper Lights",7,45
"Improper Passing",13,36
"Improper Turn",812,2113
"Improper/Missing Plates",57,136
"Not Giving R of W to Pedes.",190,708
"Not Giving R of W to Veh.",36,119
"One Way Street",22,59
"Pavement Markings",251,665
"Safety Belt",789,1876
"School Bus, Passing Stopped",98,166
Speeding,668,1815
Spillback,36,83
"Tinted Windows",1726,4521
"Truck Routes",25,80
U-Turn,171,456
Uninspected,65,271
Uninsured,679,1951
"Unlicensed Operator",747,1884
Unregistered,183,527
"Unsafe Lane Change",25,84
"Other Movers
TOTAL Movers","402
11016",890
,,28981
"* All figures are preliminary and subject to change.",,
