"Moving Violations",,
"34th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",7,31
"Bus Lane, Driving in",0,0
"Cell Phone",88,166
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",128,343
"Equipment (Other)",3,4
"Fail to Keep Right",2,2
"Fail to Signal",1,8
"Fail to Stop on Signal",23,42
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",4,21
"Improper Lights",6,7
"Improper Passing",0,5
"Improper Turn",20,108
"Improper/Missing Plates",5,9
"Not Giving R of W to Pedes.",27,50
"Not Giving R of W to Veh.",1,2
"One Way Street",1,1
"Pavement Markings",1,24
"Safety Belt",63,94
"School Bus, Passing Stopped",1,2
Speeding,11,20
Spillback,0,1
"Tinted Windows",20,25
"Truck Routes",9,12
U-Turn,3,12
Uninspected,2,3
Uninsured,7,20
"Unlicensed Operator",18,50
Unregistered,5,8
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","37
493",64
,,1135
"* All figures are preliminary and subject to change.",,
