"Moving Violations",,
"Patrol Bureau",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
144","YTD 2014"
,,453
"Brake Lights (Defect.or  Improper)",2553,7587
"Bus Lane, Driving in",107,297
"Cell Phone",9680,25956
"Commercial Veh on Pkwy",13,51
"Defective Brakes",11,58
"Disobey Sign",11328,31082
"Equipment (Other)",355,1055
"Fail to Keep Right",21,74
"Fail to Signal",1732,5172
"Fail to Stop on Signal",3982,11456
"Following Too Closely",59,150
"Headlights (Defect. or Improper)",2257,8033
"Improper Lights",416,1171
"Improper Passing",289,798
"Improper Turn",5831,16643
"Improper/Missing Plates",297,795
"Not Giving R of W to Pedes.",2158,6564
"Not Giving R of W to Veh.",229,701
"One Way Street",308,912
"Pavement Markings",2311,6556
"Safety Belt",8178,22563
"School Bus, Passing Stopped",171,362
Speeding,3446,8481
Spillback,361,975
"Tinted Windows",7276,20125
"Truck Routes",480,1375
U-Turn,830,2322
Uninspected,526,1962
Uninsured,5035,14420
"Unlicensed Operator",5189,14381
Unregistered,1089,3098
"Unsafe Lane Change",414,1088
"Other Movers
TOTAL Movers","4227
81303",11486
,,228202
"* All figures are preliminary and subject to change.",,
