Offense  Description,"",""
Backing Unsafely,3,11
Bike Lane,0,0
Bus Lane,0,6
Cell Phone,48,615
Commercial Veh on Pkwy,0,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,202,1702
Driving Too Slow,0,0
Equipment,6,122
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,28,372
Failure to Signal,33,346
Following Too Closely,0,0
Improper Passing,1,9
Improper Taxi Pickup,0,0
Improper Turn,52,572
Improper/Missing Plates,0,4
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),0,6
Not Giving R of W to Veh.,3,16
Obstructed Plate,4,47
One Way Street,2,23
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,32,285
School Bus,8,49
Scooter In NYC,0,0
Seat Belt,105,1033
Speeding,66,665
Spillback,0,8
TBTA Rule,0,0
Tints,8,230
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,18
Uninsured,9,97
Unlicensed Operator,46,542
Unregistered,8,96
Unsafe Lane Change,0,14
Other Movers,34,438
TOTAL Movers,698,7328
49th Precinct,,
