Offense  Description,"",""
Backing Unsafely,1,8
Bike Lane,0,2
Bus Lane,0,20
Cell Phone,71,1037
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,208,1972
Driving Too Slow,0,0
Equipment,24,320
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,3
Fail to yield Right of Way to Pedestrian,35,352
Failure to Signal,8,142
Following Too Closely,1,3
Improper Passing,0,13
Improper Taxi Pickup,0,0
Improper Turn,93,1116
Improper/Missing Plates,2,21
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,11
Obstructed Plate,2,46
One Way Street,1,14
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,2
Red Light,32,461
School Bus,0,11
Scooter In NYC,0,2
Seat Belt,14,368
Speeding,24,554
Spillback,0,5
TBTA Rule,0,0
Tints,20,263
TLC (Other),0,0
Truck Route,0,0
Uninspected,2,25
Uninsured,20,317
Unlicensed Operator,30,482
Unregistered,16,228
Unsafe Lane Change,3,26
Other Movers,66,729
TOTAL Movers,673,8555
47th Precinct,,
