Offense  Description,"",""
Backing Unsafely,20,150
Bike Lane,2,21
Bus Lane,24,258
Cell Phone,590,6653
Commercial Veh on Pkwy,2,14
Cruising For Passengers,0,0
Disobey Traffic Control Device,2226,22680
Driving Too Slow,0,4
Equipment,405,4574
Equipment (Other),1,4
Excessive Noise,0,1
Fail to Keep Right,4,21
Fail to yield Right of Way to Pedestrian,482,5410
Failure to Signal,157,1891
Following Too Closely,9,38
Improper Passing,18,198
Improper Taxi Pickup,1,13
Improper Turn,1107,10902
Improper/Missing Plates,18,233
Lamps and Other Equipment on Bicycle,0,8
Motorcycle (Other),4,61
Not Giving R of W to Veh.,25,192
Obstructed Plate,108,1017
One Way Street,32,319
Overheight,2,3
Overlength,3,3
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,43
Red Light,694,6382
School Bus,39,362
Scooter In NYC,0,4
Seat Belt,710,7393
Speeding,995,10944
Spillback,4,229
TBTA Rule,0,0
Tints,569,7148
TLC (Other),0,0
Truck Route,11,163
Uninspected,32,315
Uninsured,213,2459
Unlicensed Operator,734,6873
Unregistered,186,1802
Unsafe Lane Change,64,645
Other Movers,773,7190
TOTAL Movers,10266,106620
Bronx,,
