Offense  Description,"",""
Backing Unsafely,2,11
Bike Lane,0,0
Bus Lane,0,8
Cell Phone,22,249
Commercial Veh on Pkwy,5,33
Cruising For Passengers,0,0
Disobey Traffic Control Device,258,2737
Driving Too Slow,0,0
Equipment,10,139
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,1,1
Fail to yield Right of Way to Pedestrian,33,354
Failure to Signal,22,154
Following Too Closely,0,2
Improper Passing,3,12
Improper Taxi Pickup,0,0
Improper Turn,83,853
Improper/Missing Plates,1,5
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),1,8
Not Giving R of W to Veh.,1,18
Obstructed Plate,11,74
One Way Street,4,20
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,132,1454
School Bus,0,8
Scooter In NYC,0,0
Seat Belt,41,400
Speeding,21,252
Spillback,0,10
TBTA Rule,0,0
Tints,20,415
TLC (Other),0,0
Truck Route,0,5
Uninspected,0,25
Uninsured,17,137
Unlicensed Operator,66,625
Unregistered,8,129
Unsafe Lane Change,2,8
Other Movers,84,1173
TOTAL Movers,848,9319
73rd Precinct,,
