Offense  Description,"",""
Backing Unsafely,1,12
Bike Lane,0,0
Bus Lane,0,16
Cell Phone,28,261
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,122,1739
Driving Too Slow,0,0
Equipment,19,425
Equipment (Other),0,2
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,20,270
Failure to Signal,17,165
Following Too Closely,0,0
Improper Passing,2,28
Improper Taxi Pickup,0,0
Improper Turn,121,1162
Improper/Missing Plates,0,10
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,9
Obstructed Plate,1,38
One Way Street,2,38
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,49,847
School Bus,0,4
Scooter In NYC,0,0
Seat Belt,31,420
Speeding,89,672
Spillback,0,8
TBTA Rule,0,0
Tints,30,433
TLC (Other),0,0
Truck Route,0,21
Uninspected,1,64
Uninsured,56,579
Unlicensed Operator,41,511
Unregistered,12,104
Unsafe Lane Change,1,9
Other Movers,25,328
TOTAL Movers,668,8176
106th Precinct,,
