Offense  Description,"",""
Backing Unsafely,0,2
Bike Lane,0,1
Bus Lane,0,0
Cell Phone,31,498
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,146,2126
Driving Too Slow,0,1
Equipment,12,220
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,41,388
Failure to Signal,3,111
Following Too Closely,0,0
Improper Passing,1,7
Improper Taxi Pickup,0,0
Improper Turn,151,1277
Improper/Missing Plates,3,9
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),1,1
Not Giving R of W to Veh.,1,6
Obstructed Plate,2,22
One Way Street,1,27
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,3
Red Light,29,279
School Bus,0,3
Scooter In NYC,0,0
Seat Belt,24,345
Speeding,78,590
Spillback,0,0
TBTA Rule,0,0
Tints,8,89
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,5
Uninsured,3,47
Unlicensed Operator,35,366
Unregistered,2,37
Unsafe Lane Change,0,4
Other Movers,46,846
TOTAL Movers,618,7311
107th Precinct,,
