Offense  Description,"",""
Backing Unsafely,0,5
Bike Lane,0,0
Bus Lane,1,3
Cell Phone,26,463
Commercial Veh on Pkwy,0,2
Cruising For Passengers,0,0
Disobey Traffic Control Device,182,1416
Driving Too Slow,0,0
Equipment,30,248
Equipment (Other),0,3
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,117,1028
Failure to Signal,13,157
Following Too Closely,0,1
Improper Passing,1,9
Improper Taxi Pickup,0,0
Improper Turn,4,48
Improper/Missing Plates,1,11
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,1,9
Obstructed Plate,2,42
One Way Street,6,48
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,30,374
School Bus,1,11
Scooter In NYC,0,0
Seat Belt,148,796
Speeding,64,1196
Spillback,0,0
TBTA Rule,0,0
Tints,14,117
TLC (Other),0,0
Truck Route,0,5
Uninspected,0,3
Uninsured,10,56
Unlicensed Operator,73,653
Unregistered,9,68
Unsafe Lane Change,0,0
Other Movers,26,389
TOTAL Movers,759,7163
110th Precinct,,
