Offense  Description,"",""
Backing Unsafely,0,3
Bike Lane,0,1
Bus Lane,0,1
Cell Phone,39,343
Commercial Veh on Pkwy,0,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,211,2239
Driving Too Slow,0,0
Equipment,38,342
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,16,408
Failure to Signal,0,16
Following Too Closely,0,4
Improper Passing,0,1
Improper Taxi Pickup,0,1
Improper Turn,56,527
Improper/Missing Plates,1,8
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,9
Not Giving R of W to Veh.,0,9
Obstructed Plate,4,36
One Way Street,6,15
Overheight,0,1
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,56,436
School Bus,0,23
Scooter In NYC,0,0
Seat Belt,72,329
Speeding,76,393
Spillback,0,1
TBTA Rule,0,0
Tints,11,182
TLC (Other),0,0
Truck Route,0,0
Uninspected,4,16
Uninsured,7,68
Unlicensed Operator,36,251
Unregistered,6,37
Unsafe Lane Change,0,4
Other Movers,43,257
TOTAL Movers,682,5964
34th Precinct,,
