
"1st Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,8
"Brake Lights (Defect.or  Improper)",67,514
"Bus Lane, Driving in",5,96
"Cell Phone",204,2531
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,15
"Disobey Sign",93,1626
"Equipment (Other)",29,76
"Fail to Keep Right",0,9
"Fail to Signal",4,58
"Fail to Stop on Signal",23,620
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",83,675
"Improper Lights",2,8
"Improper Passing",2,37
"Improper Turn",11,335
"Improper/Missing Plates",2,8
"Not Giving R of W to Pedes.",2,80
"Not Giving R of W to Veh.",2,6
"One Way Street",17,232
"Pavement Markings",7,221
"Safety Belt",129,1417
"School Bus, Passing Stopped",0,27
Speeding,7,41
Spillback,4,104
"Tinted Windows",98,365
"Truck Routes",0,1
U-Turn,2,42
Uninspected,5,30
Uninsured,52,412
"Unlicensed Operator",29,349
Unregistered,13,92
"Unsafe Lane Change",9,71
"Other Movers
TOTAL Movers","31
933",388
,,10498

