
"Housing Bureau",,

"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,2
"Brake Lights (Defect.or  Improper)",1,14
"Bus Lane, Driving in",0,0
"Cell Phone",0,10
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,8
"Disobey Sign",0,20
"Equipment (Other)",0,3
"Fail to Keep Right",0,0
"Fail to Signal",0,6
"Fail to Stop on Signal",1,20
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,24
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",0,3
"Improper/Missing Plates",0,11
"Not Giving R of W to Pedes.",0,0
"Not Giving R of W to Veh.",1,1
"One Way Street",0,5
"Pavement Markings",0,4
"Safety Belt",0,4
"School Bus, Passing Stopped",0,7
Speeding,0,0
Spillback,0,1
"Tinted Windows",0,0
"Truck Routes",0,0
U-Turn,0,3
Uninspected,0,5
Uninsured,1,18
"Unlicensed Operator",0,30
Unregistered,0,6
"Unsafe Lane Change",0,2
"Other Movers
TOTAL Movers","2
6",18
,,227


