Housing Bureau,,
    July ,,
"","",""
Backing Unsafely,1,2
Bike Lane,0,1
Bus Lane,0,0
Cell Phone,1,5
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,1,28
Driving Too Slow,0,0
Equipment,5,39
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,1
Failure to Signal,3,20
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,0,0
Improper Taxi Pickup,0,0
Improper Turn,0,3
Improper/Missing Plates,0,1
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,3
Obstructed Plate,1,15
One Way Street,0,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,6,22
School Bus,0,2
Scooter In NYC,0,0
Seat Belt,0,4
Speeding,1,3
Spillback,0,1
TBTA Rule,0,0
Tints,6,17
TLC (Other),0,0
Truck Route,0,0
Uninspected,1,2
Uninsured,1,18
Unlicensed Operator,4,47
Unregistered,0,10
Unsafe Lane Change,0,2
Other Movers,1,9
HOUSINGTOTAL Movers ,32,257
