"Moving Violations",,
"Staten Island",,
September,,
pbsisum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,46
"Brake Lights (Defect.or Improper)",32,400
"Bus Lane, Driving in",6,18
"Cell Phone",257,2652
"Commercial Veh on Pkwy",0,11
"Defective Brakes",0,5
"Disobey Steady Red Signal",243,2304
"Disobey Traffic Control Device",696,8036
"Equipment (Other)",6,163
"Fail to Keep Right",3,13
"Fail to Signal",210,2952
"Following Too Closely",7,91
"Headlights (Defect. or Improper)",23,417
"Improper Lights",1,12
"Improper Passing",14,150
"Improper Turn",23,472
"Improper/Missing Plates",49,405
"Lamps and Other Equipment on Bicycle",0,1
"Not Giving R of W to Pedes.",76,1076
"Not Giving R of W to Veh.",17,223
"OBSTRUCTED PLATE",6,178
"One Way Street",11,73
"Pavement Markings",96,873
"Safety Belt",432,4590
"School Bus, Passing Stopped",42,205
Speeding,630,5691
Spillback,0,8
"Tinted Windows",208,2287
"Truck Routes",0,4
U-Turn,12,133
Uninspected,18,260
Uninsured,150,1652
"Unlicensed Operator",371,3512
Unregistered,45,451
"Unsafe Lane Change",34,304
"Other Movers",488,4445
"PBSITOTAL Movers ",4207,44113
,,
"* All figures are preliminary and subject to change.",,
