"Moving Violations",,
"19th Precinct",,
"   March ",,
019sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",5,8
"Brake Lights (Defect.or Improper)",37,86
"Bus Lane, Driving in",4,12
"Cell Phone",97,227
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Steady Red Signal",63,157
"Disobey Traffic Control Device",359,828
"Equipment (Other)",0,4
"Fail to Keep Right",0,1
"Fail to Signal",46,155
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",11,47
"Improper Lights",0,0
"Improper Passing",6,10
"Improper Turn",390,1146
"Improper/Missing Plates",0,2
"Not Giving R of W to Pedes.",116,288
"Not Giving R of W to Veh.",1,1
"One Way Street",7,25
"Pavement Markings",0,50
"Safety Belt",27,51
"School Bus, Passing Stopped",0,2
Speeding,2,10
Spillback,3,5
"Tinted Windows",23,45
"Truck Routes",5,14
U-Turn,0,1
Uninspected,6,13
Uninsured,51,147
"Unlicensed Operator",54,133
Unregistered,42,62
"Unsafe Lane Change",27,69
"Other Movers",28,89
"019    TOTAL Movers ",1411,3691
"* All figures are preliminary and subject to change.",,
