"Moving Violations",,
"45th Precinct",,
"   March ",,
045sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",34,81
"Bus Lane, Driving in",0,0
"Cell Phone",58,141
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",13,43
"Disobey Traffic Control Device",76,250
"Equipment (Other)",3,11
"Fail to Keep Right",0,0
"Fail to Signal",3,20
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",30,73
"Improper Lights",0,0
"Improper Passing",1,2
"Improper Turn",16,57
"Improper/Missing Plates",4,11
"Not Giving R of W to Pedes.",35,83
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",18,34
"Safety Belt",42,100
"School Bus, Passing Stopped",0,4
Speeding,57,117
Spillback,4,5
"Tinted Windows",137,262
"Truck Routes",1,5
U-Turn,3,7
Uninspected,2,7
Uninsured,52,113
"Unlicensed Operator",33,99
Unregistered,13,37
"Unsafe Lane Change",1,5
"Other Movers",18,41
"045    TOTAL Movers ",654,1608
"* All figures are preliminary and subject to change.",,
