"Moving Violations",,
"20th Precinct",,
"   March ",,
020sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,2
"Brake Lights (Defect.or Improper)",6,16
"Bus Lane, Driving in",0,0
"Cell Phone",149,390
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",66,192
"Disobey Traffic Control Device",180,630
"Equipment (Other)",4,12
"Fail to Keep Right",0,0
"Fail to Signal",19,44
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",3,10
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",78,187
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",31,77
"Not Giving R of W to Veh.",3,3
"One Way Street",8,23
"Pavement Markings",0,4
"Safety Belt",79,158
"School Bus, Passing Stopped",3,11
Speeding,29,60
Spillback,0,1
"Tinted Windows",61,89
"Truck Routes",24,69
U-Turn,3,7
Uninspected,0,0
Uninsured,12,28
"Unlicensed Operator",19,59
Unregistered,2,3
"Unsafe Lane Change",1,7
"Other Movers",42,102
"020    TOTAL Movers ",823,2184
"* All figures are preliminary and subject to change.",,
