"Moving Violations",,
"32nd Precinct",,
"   March ",,
032sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,2
"Brake Lights (Defect.or Improper)",28,63
"Bus Lane, Driving in",0,0
"Cell Phone",36,98
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,2
"Disobey Steady Red Signal",59,157
"Disobey Traffic Control Device",153,393
"Equipment (Other)",8,19
"Fail to Keep Right",0,0
"Fail to Signal",41,113
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",36,139
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",68,157
"Improper/Missing Plates",2,3
"Not Giving R of W to Pedes.",6,68
"Not Giving R of W to Veh.",0,1
"One Way Street",1,2
"Pavement Markings",29,116
"Safety Belt",12,24
"School Bus, Passing Stopped",1,3
Speeding,35,140
Spillback,0,1
"Tinted Windows",65,94
"Truck Routes",0,2
U-Turn,4,17
Uninspected,4,12
Uninsured,22,49
"Unlicensed Operator",41,112
Unregistered,8,27
"Unsafe Lane Change",1,7
"Other Movers",31,73
"032    TOTAL Movers ",694,1894
"* All figures are preliminary and subject to change.",,
