"Moving Violations",,
"43rd Precinct",,
"   March ",,
043sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",14,15
"Brake Lights (Defect.or Improper)",68,193
"Bus Lane, Driving in",0,0
"Cell Phone",6,105
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Steady Red Signal",12,60
"Disobey Traffic Control Device",48,178
"Equipment (Other)",0,2
"Fail to Keep Right",0,0
"Fail to Signal",59,196
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",85,252
"Improper Lights",0,2
"Improper Passing",0,2
"Improper Turn",109,298
"Improper/Missing Plates",3,11
"Not Giving R of W to Pedes.",43,196
"Not Giving R of W to Veh.",2,5
"One Way Street",0,1
"Pavement Markings",10,21
"Safety Belt",17,123
"School Bus, Passing Stopped",4,29
Speeding,58,137
Spillback,0,1
"Tinted Windows",70,179
"Truck Routes",1,1
U-Turn,3,14
Uninspected,0,0
Uninsured,24,82
"Unlicensed Operator",55,159
Unregistered,10,23
"Unsafe Lane Change",23,107
"Other Movers",25,90
"043    TOTAL Movers ",749,2484
"* All figures are preliminary and subject to change.",,
