"Moving Violations",,
"52nd Precinct",,
"   March ",,
052sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,5
"Brake Lights (Defect.or Improper)",108,374
"Bus Lane, Driving in",7,30
"Cell Phone",30,87
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",29,105
"Disobey Traffic Control Device",83,212
"Equipment (Other)",1,2
"Fail to Keep Right",0,3
"Fail to Signal",15,69
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",40,180
"Improper Lights",4,23
"Improper Passing",3,11
"Improper Turn",147,265
"Improper/Missing Plates",7,24
"Not Giving R of W to Pedes.",23,44
"Not Giving R of W to Veh.",1,9
"One Way Street",1,3
"Pavement Markings",16,42
"Safety Belt",58,126
"School Bus, Passing Stopped",0,5
Speeding,65,265
Spillback,0,0
"Tinted Windows",195,664
"Truck Routes",11,17
U-Turn,0,16
Uninspected,4,18
Uninsured,44,124
"Unlicensed Operator",78,223
Unregistered,36,74
"Unsafe Lane Change",4,13
"Other Movers",3,26
"052    TOTAL Movers ",1013,3059
"* All figures are preliminary and subject to change.",,
