"Moving Violations",,
"47th Precinct",,
"   March ",,
047sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,6
"Brake Lights (Defect.or Improper)",19,83
"Bus Lane, Driving in",0,0
"Cell Phone",98,185
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",33,68
"Disobey Traffic Control Device",111,364
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",1,3
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",36,121
"Improper Lights",0,0
"Improper Passing",1,2
"Improper Turn",114,283
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",32,78
"Not Giving R of W to Veh.",1,3
"One Way Street",1,1
"Pavement Markings",0,1
"Safety Belt",71,171
"School Bus, Passing Stopped",8,15
Speeding,24,85
Spillback,0,0
"Tinted Windows",255,479
"Truck Routes",0,0
U-Turn,1,1
Uninspected,3,12
Uninsured,100,222
"Unlicensed Operator",46,165
Unregistered,35,77
"Unsafe Lane Change",0,0
"Other Movers",43,120
"047    TOTAL Movers ",1035,2546
"* All figures are preliminary and subject to change.",,
