"Moving Violations",,
"1st Precinct",,
"   April ",,
001sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,9
"Brake Lights (Defect.or Improper)",0,11
"Bus Lane, Driving in",3,11
"Cell Phone",201,864
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Sign",173,748
"Equipment (Other)",10,78
"Fail to Keep Right",0,0
"Fail to Signal",14,71
"Fail to Stop on Signal",64,254
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",4,18
"Improper Lights",0,2
"Improper Passing",4,5
"Improper Turn",94,365
"Improper/Missing Plates",3,9
"Not Giving R of W to Pedes.",47,138
"Not Giving R of W to Veh.",0,3
"One Way Street",17,56
"Pavement Markings",35,144
"Safety Belt",106,456
"School Bus, Passing Stopped",5,7
Speeding,11,52
Spillback,0,8
"Tinted Windows",41,219
"Truck Routes",6,20
U-Turn,0,4
Uninspected,2,6
Uninsured,22,99
"Unlicensed Operator",18,101
Unregistered,5,21
"Unsafe Lane Change",3,17
"Other Movers",78,182
"001    TOTAL Movers ",971,3981
"* All figures are preliminary and subject to change.",,
