Manhattan North,,
   April ,,
pbmnsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,17,72
Brake Lights (Defect.or Improper),310,1537
"Bus Lane, Driving in",6,25
Cell Phone,1443,5934
Commercial Veh on Pkwy,10,18
Defective Brakes,6,18
Disobey Sign,1135,4380
Equipment (Other),65,168
Fail to Keep Right,5,16
Fail to Signal,280,1029
Fail to Stop on Signal,577,1938
Following Too Closely,1,9
Headlights (Defect. or Improper),211,1187
Improper Lights,7,19
Improper Passing,27,59
Improper Turn,807,3871
Improper/Missing Plates,24,84
Not Giving R of W to Pedes.,438,1702
Not Giving R of W to Veh.,17,57
One Way Street,59,245
Pavement Markings,263,1017
Safety Belt,729,3009
"School Bus, Passing Stopped",130,164
Speeding,217,1016
Spillback,4,21
Tinted Windows,306,1381
Truck Routes,98,449
U-Turn,198,754
Uninspected,24,213
Uninsured,298,1308
Unlicensed Operator,304,1131
Unregistered,113,453
Unsafe Lane Change,52,205
Other Movers,336,1489
PBMN   TOTAL Movers ,8517,34978
